fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
588860.SH,工银瑞信上证科创板生物医药ETF,20251024,20251023,13044.47,1.0,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159318.SZ,银华恒指港股通ETF,20251029,20251028,3000.0000000000005,1.0134571228418474,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
512250.SH,招商中证A50ETF,20251105,20251104,4950.0,6.971732792495881,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562000.SH,华宝中证A100ETF,20251107,20251106,57836.9,0.9931316730683936,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562080.SH,华宝沪深300自由现金流ETF,20251107,20251106,64937.86,0.97889591253019,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560190.SH,鹏华中证全指公用事业ETF,20251209,20251208,2499.9999999999995,1.0066843843118305,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159312.SZ,广发恒指港股通ETF,20251230,20251229,17800.0,5.889290665709205,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159717.SZ,鹏华国证ESG300ETF,20260109,20260108,3250.0,2.1140709767131507,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
516190.SH,华夏中证文娱传媒ETF,20260112,20260109,37620.0,8.0011059476589,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
517770.SH,浦银安盛中证沪港深游戏及文化传媒ETF,20260112,20260109,18600.0,2.139214563220691,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159256.SZ,华夏创业板软件ETF,20260113,20260112,33000.0,2.941602085278542,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159587.SZ,广发国证粮食产业ETF,20260130,20260129,2299.9999999999995,1.024634393742317,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515880.SH,国泰中证全指通信设备ETF,20260202,20260130,973692.47,2.092854078581142,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588770.SH,摩根上证科创板新一代信息技术ETF,20260202,20260130,15000.0,2.396277143829346,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
516620.SH,国泰中证影视主题ETF,20260210,20260209,53000.0,2.800269459891424,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159855.SZ,银华中证影视主题ETF,20260211,20260210,50800.0,2.104171081767111,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
